,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,Iranduba,-3.2847,-60.1861,79.09,90,97,3.31,BR,1650765686
123,Bodden Town,19.2833,-81.25,80.01,78,97,5.01,KY,1650765687
124,Codrington,-38.2667,141.9667,63.9,55,6,9.55,AU,1650765687
125,Jalu,29.0331,21.5482,64.4,55,0,10.27,LY,1650765688
126,Bethel,41.3712,-73.414,55.33,61,100,5.01,US,1650765688
127,Longyearbyen,78.2186,15.6401,17.44,67,40,16.11,SJ,1650765688
128,Savannah Bight,16.45,-85.85,81.27,73,18,12.97,HN,1650765689
129,College,64.8569,-147.8028,48.2,58,100,1.39,US,1650765689
130,Mossamedes,-15.1961,12.1522,69.21,84,33,5.99,AO,1650765690
131,Kaitangata,-46.2817,169.8464,52.47,79,82,13.15,NZ,1650765690
132,Kahului,20.8947,-156.47,75.85,91,54,13.0,US,1650765691
133,Ponta do Sol,32.6667,-17.1,59.72,63,50,1.97,PT,1650765691
134,Lahaina,20.8783,-156.6825,75.81,91,44,8.88,US,1650765692
135,Hermanus,-34.4187,19.2345,56.97,65,27,1.48,ZA,1650765692
136,Necochea,-38.5473,-58.7368,60.89,67,42,12.35,AR,1650765692
137,Yellowknife,62.456,-114.3525,32.56,76,11,10.0,CA,1650765693
138,Misratah,32.3754,15.0925,61.93,73,17,9.24,LY,1650765693
139,Havelock,34.8791,-76.9013,68.97,80,1,5.14,US,1650765616
140,Kangaatsiaq,68.3065,-53.4641,22.08,95,100,5.97,GL,1650765694
141,Cherskiy,68.75,161.3,21.4,79,100,3.24,RU,1650765694
142,Prabumulih,-3.45,104.25,74.77,97,100,2.26,ID,1650765695
143,Waoundé,15.2637,-12.8682,88.72,17,0,15.37,SN,1650765695
144,Isangel,-19.55,169.2667,81.54,67,33,13.4,VU,1650765696
145,Bud,39.447,-86.1758,75.22,51,9,11.99,US,1650765697
146,Gawān,28.4333,78.35,86.72,15,0,8.57,IN,1650765697
147,Prince Rupert,54.3161,-130.3201,44.69,87,100,41.43,CA,1650765569
148,Guerrero Negro,27.9769,-114.0611,59.77,76,0,19.22,MX,1650765698
149,Cooma,-36.2333,149.1333,53.37,100,40,5.75,AU,1650765698
150,Dingle,10.9995,122.6711,87.21,64,73,9.82,PH,1650765699
151,Hambantota,6.1241,81.1185,77.34,100,40,3.44,LK,1650765699
152,Breves,-1.6822,-50.4803,72.36,97,100,3.33,BR,1650765700
153,Valparaíso,-33.0393,-71.6273,60.48,77,0,6.91,CL,1650765553
154,Komatsushimachō,34.0,134.5833,60.76,94,100,2.3,JP,1650765701
155,San Martín,-33.081,-68.4681,62.22,62,100,9.64,AR,1650765701
156,Gornopravdinsk,60.05,69.9,26.44,77,97,6.24,RU,1650765702
157,Pacific Grove,36.6177,-121.9166,64.45,78,0,5.99,US,1650765613
